TGL,Airline,delay,delay_normalized
2023-01-20,Batik Air,16.0,0.4489583333333333
2023-01-20,Garuda Indonesia,7.0,0.4395833333333333
2023-01-20,My Indo Airlines,13.0,0.4458333333333333
2023-01-20,Lion Air,3.0,0.4354166666666667
2023-01-20,NamAir,8.0,0.440625
2023-01-20,Citilink,28.0,0.4614583333333333
2023-01-20,Sriwijaya Air,27.0,0.4604166666666666
2023-01-20,Garuda Indonesia,3.0,0.4354166666666667
2023-01-20,Citilink,26.0,0.459375
2023-01-20,Batik Air,17.0,0.45
2023-01-21,Citilink,25.0,0.4583333333333333
2023-01-21,Batik Air,26.0,0.459375
2023-01-21,,41.0,0.475
2023-01-21,Batik Air,66.0,0.5010416666666667
2023-01-21,Batik Air,4.0,0.4364583333333333
2023-01-21,,9.0,0.4416666666666666
2023-01-21,Garuda Indonesia,22.0,0.4552083333333333
2023-01-21,Lion Air,27.0,0.4604166666666666
2023-01-21,Citilink,12.0,0.4447916666666666
2023-01-21,Batik Air,4.0,0.4364583333333333
2023-01-21,,10.0,0.4427083333333333
2023-01-21,Wings Air,26.0,0.459375
2023-01-21,Lion Air,3.0,0.4354166666666667
2023-01-21,Batik Air,35.0,0.46875
2023-01-21,Wings Air,4.0,0.4364583333333333
2023-01-21,Batik Air,15.0,0.4479166666666667
2023-01-21,,28.0,0.4614583333333333
2023-01-21,,16.0,0.4489583333333333
2023-01-21,Garuda Indonesia,5.0,0.4375
2023-01-21,,13.0,0.4458333333333333
2023-01-21,Wings Air,4.0,0.4364583333333333
2023-01-21,Citilink,1.0,0.4333333333333333
2023-01-21,Garuda Indonesia,3.0,0.4354166666666667
2023-01-21,,47.0,0.48125
2023-01-21,Lion Air,11.0,0.44375
2023-01-22,Batik Air,6.0,0.4385416666666666
2023-01-22,Citilink,11.0,0.44375
2023-01-22,Batik Air,1.0,0.4333333333333333
2023-01-22,,2.0,0.434375
2023-01-22,My Indo Airlines,2.0,0.434375
2023-01-22,Batik Air,21.0,0.4541666666666666
2023-01-22,Garuda Indonesia,4.0,0.4364583333333333
2023-01-22,Lion Air,4.0,0.4364583333333333
